riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs73046410-A	6.00E-08	-	0.4646	-	39.408703 z score increase	-	CEACAM22P	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	742515:49:00	34743297	Kulminski AM
rs79638902-T	4.00E-16	-	0.1511	-	78.11085 z score increase	-	CEACAM16-AS1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	745327:15:00	34743297	Kulminski AM
rs28399637-A	1.00E-67	-	0.3284	-	318.37918 z score increase	-	BCAM	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	747033:41:00	34743297	Kulminski AM
rs116949436-A	1.00E-19	-	0.01119	-	95.149284 z score increase	-	CLPTM1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	749354:29:00	34743297	Kulminski AM
rs113321260-A	4.00E-20	-	0.08209	-	97.3293 z score increase	-	MARK4,PPP1R37	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	752485:19:00	34743297	Kulminski AM
rs12611358-A	1.00E-06	-	0.4235	-	32.791634 z score increase	-	MEIOSIN	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	762487:24:00	34743297	Kulminski AM
rs140589268-T	3.00E-07	-	0.06903	-	36.11655 z score increase	-	ARFGEF2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	816317:59:00	34743297	Kulminski AM
rs141979783-T	4.00E-08	-	0.05224	-	40.01637 z score increase	-	STAU1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	819557:18:00	34743297	Kulminski AM
rs2837992-T	1.00E-07	-	0.3881	-	37.564407 z score increase	-	BACE2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	687497:33:00	34743297	Kulminski AM
rs9616906-A	3.00E-08	-	0.4515	-	40.756695 z score increase	-	Y_RNA,ARSA	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	844459:32:00	34743297	Kulminski AM
rs7757476-A	9.00E-09	-	0.2313	-	43.238033 z score increase	-	RPL6P17,RNU6-793P	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	245201:30:00	34743297	Kulminski AM
rs12006296-C	2.00E-06	-	0.3433	-	31.524254 z score increase	-	LINC01231,CARM1P1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	52383:27:00	34743297	Kulminski AM
rs4741351-A	2.00E-08	-	0.3097	-	42.168922 z score increase	-	NFIB	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	237055:23:00	34743297	Kulminski AM
rs7029201-A	5.00E-22	-	0.4235	-	105.95356 z score increase	-	LINC01239,SUMO2P2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	389310:23:00	34743297	Kulminski AM
rs7033137-C	3.00E-07	-	0.7743	-	35.88011 z score increase	-	APBA1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1157346:22:00	34743297	Kulminski AM
rs17425572-A	7.00E-07	-	0.4403	-	34.235767 z score increase	-	STK33P1,UBE2V1P10	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1423199:23:00	34743297	Kulminski AM
rs4240470-C	4.00E-08	-	0.7071	-	40.055244 z score increase	-	TTLL11	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2030999:50:00	34743297	Kulminski AM
rs7912495-A	3.00E-06	-	0.5336	-	30.753965 z score increase	-	ECHDC3,USP6NL-AS1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	194621:54:00	34743297	Kulminski AM
rs10822125-T	5.00E-08	-	0.5989	-	39.779556 z score increase	-	RNU6-543P,EGR2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1051320:36:00	34743297	Kulminski AM
rs76154441-T	1.00E-06	-	0.95522	-	32.72807 z score increase	-	ATXN1-AS1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	279392:43:00	34743297	Kulminski AM
rs766406-T	1.00E-07	-	0.6194	-	37.519226 z score increase	-	H4C8,H3C9P	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	438662:00:00	34743297	Kulminski AM
rs139325018-A	3.00E-06	-	0.8619	-	31.379734 z score increase	-	PRRT1,FKBPL	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	535695:48:00	34743297	Kulminski AM
rs140677956-T	3.00E-07	-	0.4534	-	35.907425 z score increase	-	TSBP1-AS1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	539544:11:00	34743297	Kulminski AM
rs138002663-T	5.00E-09	-	0.8004	-	44.327442 z score increase	-	HLA-DRB5,HLA-DRB9	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	541768:45:00	34743297	Kulminski AM
rs77212406-T	5.00E-10	-	0.7388	-	49.23341 z score increase	-	HLA-DRB1,HLA-DQA1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	543513:12:00	34743297	Kulminski AM
rs115795926-A	2.00E-08	-	0.7052	-	42.099953 z score increase	-	MTCO3P1,HLA-DQB3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	545248:11:00	34743297	Kulminski AM
rs9381563-T	1.00E-07	-	0.6418	-	38.19923 z score increase	-	B3GNTL1P2,CD2AP-DT	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	791087:41:00	34743297	Kulminski AM
rs9357551-T	1.00E-06	-	0.2724	-	32.98426 z score increase	-	CD2AP,ADGRF2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	793977:33:00	34743297	Kulminski AM
rs9401593-A	1.00E-20	-	0.4963	-	99.57901 z score increase	-	EIF4EBP2P3,MIR2113	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1635038:05:00	34743297	Kulminski AM
rs1761608-A	1.00E-07	-	0.4067	-	37.804775 z score increase	-	CCDC162P	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1819947:43:00	34743297	Kulminski AM
rs1533827-T	1.00E-06	-	0.2052	-	33.136574 z score increase	-	MAD1L1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	33917:55:00	34743297	Kulminski AM
rs6952006-T	4.00E-08	-	0.8489	-	40.25448 z score increase	-	ICA1,GLCCI1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	134918:04:00	34743297	Kulminski AM
rs2188179-A	3.00E-08	-	0.4664	-	40.960983 z score increase	-	RN7SL7P,SAMD9	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1550875:49:00	34743297	Kulminski AM
rs12705979-T	2.00E-06	-	0.4422	-	31.477953 z score increase	-	MDFIC,FOXP2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1911582:16:00	34743297	Kulminski AM
rs1424580-T	4.00E-08	-	0.8004	-	40.211506 z score increase	-	EXOC4	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2224501:32:00	34743297	Kulminski AM
rs320700-A	2.00E-08	-	0.6343	-	41.197952 z score increase	-	PTN,DGKI	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2289419:11:00	34743297	Kulminski AM
rs10808026-A	2.00E-10	-	0.2556	-	51.29085 z score increase	-	EPHA1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2390041:00:00	34743297	Kulminski AM
rs28834970-T	1.00E-08	-	0.6474	-	42.383987 z score increase	-	PTK2B	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	455634:44:00	34743297	Kulminski AM
rs7982-A	3.00E-16	-	0.3937	-	78.658066 z score increase	-	CLU	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	460090:44:00	34743297	Kulminski AM
rs35927132-T	3.00E-06	-	0.1604	-	31.251501 z score increase	-	INTS9	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	480437:43:00	34743297	Kulminski AM
rs12675931-T	6.00E-07	-	0.7295	-	34.404503 z score increase	-	NECAB1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1514828:37:00	34743297	Kulminski AM
rs13266268-T	3.00E-10	-	0.3545	-	50.726883 z score increase	-	MIR1302-7,C8orf90	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2360039:11:00	34743297	Kulminski AM
rs11774212-T	2.00E-08	-	0.4813	-	41.321564 z score increase	-	ZFTRAF1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2407693:22:00	34743297	Kulminski AM
rs7924036-T	5.00E-08	-	0.4851	-	39.567413 z score increase	-	JMJD1C	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1057208:05:00	34743297	Kulminski AM
rs12247907-C	2.00E-07	-	0.5019	-	36.976624 z score increase	-	REEP3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1059298:05:00	34743297	Kulminski AM
rs2305192-T	6.00E-10	-	0.6493	-	49.067486 z score increase	-	OGA	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1696686:04:00	34743297	Kulminski AM
rs11191193-A	2.00E-11	-	0.6511	-	56.352448 z score increase	-	ARMH3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1700720:51:00	34743297	Kulminski AM
rs10786662-C	3.00E-11	-	0.5466	-	54.988506 z score increase	-	ELOVL3,PITX3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1703844:15:00	34743297	Kulminski AM
rs55970842-A	4.00E-10	-	0.2015	-	49.881874 z score increase	-	PSD	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1706865:37:00	34743297	Kulminski AM
rs12219346-T	1.00E-07	-	0.6922	-	38.346725 z score increase	-	BORCS7-ASMT,AS3MT	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1714969:03:00	34743297	Kulminski AM
rs56118554-T	3.00E-07	-	0.2127	-	35.75628 z score increase	-	BNIP3,JAKMIP3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2199834:17:00	34743297	Kulminski AM
rs3890065-C	1.00E-09	-	0.5821	-	47.12932 z score increase	-	TEAD1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	212298:00:00	34743297	Kulminski AM
rs4600211-T	2.00E-06	-	0.7892	-	31.888813 z score increase	-	LUZP2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	411737:15:00	34743297	Kulminski AM
rs983392-A	4.00E-10	-	0.5336	-	49.633244 z score increase	-	LINC02705,MS4A2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1002611:35:00	34743297	Kulminski AM
rs72924659-T	5.00E-12	-	0.3321	-	58.9558 z score increase	-	MS4A6E	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1005609:32:00	34743297	Kulminski AM
rs286043-T	3.00E-06	-	0.98321	-	30.72797 z score increase	-	DLG2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1422709:34:00	34743297	Kulminski AM
rs10792832-A	1.00E-15	-	0.3843	-	76.51319 z score increase	-	LINC02695,RNU6-560P	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1435958:13:00	34743297	Kulminski AM
rs7948975-T	5.00E-08	-	0.6586	-	39.89753 z score increase	-	DISC1FP1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1511535:30:00	34743297	Kulminski AM
rs535819-T	5.00E-08	-	0.6157	-	39.788548 z score increase	-	CEP57	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1596816:44:00	34743297	Kulminski AM
rs9792504-A	8.00E-11	-	0.694	-	53.247917 z score increase	-	SMARCA2,RNA5SP279	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	29201:30:00	34743297	Kulminski AM
rs4663105-C	1.00E-10	-	0.419	1.53	-	[1.35-1.75]	BIN1,NIFKP9	Alzheimer's disease and Lewy body co-pathology	Alzheimer disease,Lewy body dementia	-	GCST90276157	2118899:31:00	37700353	Talyansky S
rs429358-C	1.00E-52	-	0.271	4.24	-	[3.52-5.1]	APOE	Alzheimer's disease and Lewy body co-pathology	Alzheimer disease,Lewy body dementia	-	GCST90276157	748497:04:00	37700353	Talyansky S
rs429358-?	0.00E+00	-	NR	3.32	-	-	APOE	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST90093287	748497:04:00	33637690	He L
rs75932628-?	8.00E-17	-	NR	2.76	-	-	TREM2	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST90093287	686031:14:00	33637690	He L
rs2405442-?	6.00E-08	-	NR	0.879	-	-	PILRA	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST90093287	1672901:50:00	33637690	He L
rs7982-?	1.00E-07	-	NR	0.89	-	-	CLU	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST90093287	460090:44:00	33637690	He L
rs111033333-?	3.00E-08	-	NR	4.66	-	-	USH2A	Alzheimer's disease (age of onset) in APOE e4 non-carriers	Alzheimer disease,age at onset	APOE carrier status	GCST90093289	3601619:47:00	33637690	He L
rs144292455-?	7.00E-07	-	NR	3.19	-	-	TACR3	Alzheimer's disease (age of onset) in APOE e4 non-carriers	Alzheimer disease,age at onset	APOE carrier status	GCST90093289	1727608:18:00	33637690	He L
rs142695278-?	2.00E-06	-	NR	4.01	-	-	CYLC2	Alzheimer's disease (age of onset) in APOE e4 non-carriers	Alzheimer disease,age at onset	APOE carrier status	GCST90093289	1716769:35:00	33637690	He L
rs149524209-?	1.00E-06	-	NR	4.44	-	-	CAMSAP1	Alzheimer's disease (age of onset) in APOE e4 non-carriers	Alzheimer disease,age at onset	APOE carrier status	GCST90093289	2263692:34:00	33637690	He L
rs79782048-?	7.00E-08	-	NR	4.39	-	-	NOTCH1	Alzheimer's disease (age of onset) in APOE e4 non-carriers	Alzheimer disease,age at onset	APOE carrier status	GCST90093289	2275252:57:00	33637690	He L
rs12373123-?	7.00E-08	-	NR	0.861	-	-	MAPT-AS1,SPPL2C	Alzheimer's disease (age of onset) in APOE e4 non-carriers	Alzheimer disease,age at onset	APOE carrier status	GCST90093289	764128:47:00	33637690	He L
rs2732703-?	3.00E-06	-	NR	0.873	-	-	ARL17B	Alzheimer's disease (age of onset) in APOE e4 non-carriers	Alzheimer disease,age at onset	APOE carrier status	GCST90093289	771281:16:00	33637690	He L
rs199533-?	1.00E-07	-	NR	0.859	-	-	NSF	Alzheimer's disease (age of onset) in APOE e4 non-carriers	Alzheimer disease,age at onset	APOE carrier status	GCST90093289	779209:45:00	33637690	He L
rs56201815-?	2.00E-12	-	NR	5.21	-	-	ERN1	Alzheimer's disease (age of onset) in APOE e4 non-carriers	Alzheimer disease,age at onset	APOE carrier status	GCST90093289	1067751:16:00	33637690	He L
rs12151021-?	2.00E-13	-	NR	-	0.0772974 unit increase	-	ABCA7	Alzheimer's disease or family history of Alzheimer's disease	Alzheimer disease,family history of Alzheimer’s disease	-	GCST90012877	17533:35:00	33589840	Schwartzentruber J
rs4147918-?	8.00E-07	-	NR	-	0.120111 unit decrease	-	ABCA7	Alzheimer's disease or family history of Alzheimer's disease	Alzheimer disease,family history of Alzheimer’s disease	-	GCST90012877	17655:17:00	33589840	Schwartzentruber J
rs4311-?	1.00E-08	-	NR	-	0.0542811 unit decrease	-	ACE	Alzheimer's disease or family history of Alzheimer's disease	Alzheimer disease,family history of Alzheimer’s disease	-	GCST90012877	1058073:42:00	33589840	Schwartzentruber J
rs3730025-?	3.00E-07	-	NR	-	0.199405 unit increase	-	ACE	Alzheimer's disease or family history of Alzheimer's disease	Alzheimer disease,family history of Alzheimer’s disease	-	GCST90012877	1058023:52:00	33589840	Schwartzentruber J
rs4775044-?	4.00E-06	-	NR	-	0.0438743 unit decrease	-	ALDH1A2	Alzheimer's disease or family history of Alzheimer's disease	Alzheimer disease,family history of Alzheimer’s disease	-	GCST90012877	973227:48:00	33589840	Schwartzentruber J
rs442495-?	3.00E-11	-	NR	-	0.0675868 unit decrease	-	ADAM10	Alzheimer's disease or family history of Alzheimer's disease	Alzheimer disease,family history of Alzheimer’s disease	-	GCST90012877	978855:16:00	33589840	Schwartzentruber J
rs4817090-?	1.00E-07	-	NR	-	0.0530908 unit increase	-	APP	Alzheimer's disease or family history of Alzheimer's disease	Alzheimer disease,family history of Alzheimer’s disease	-	GCST90012877	436053:23:00	33589840	Schwartzentruber J
rs2830489-?	3.00E-08	-	NR	-	0.0589648 unit decrease	-	ADAMTS1,CYYR1	Alzheimer's disease or family history of Alzheimer's disease	Alzheimer disease,family history of Alzheimer’s disease	-	GCST90012877	446285:32:00	33589840	Schwartzentruber J
